国家,指数名称,指数编码,日期,值 ,
"阿富汗"	,"对中国出口"	,"120055809"	,"2005-12-31"	,"151"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2006-12-31"	,"18.5744"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2007-12-31"	,"237.6291"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2008-12-31"	,"269.3017"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2009-12-31"	,"137.5868"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2010-12-31"	,"368"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2011-12-31"	,"440.3087"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2012-12-31"	,"518.7"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2013-12-31"	,"959.5"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2014-12-31"	,"1737.1806"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2015-12-31"	,"1177.1"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2016-12-31"	,"453.4"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2017-12-31"	,"342.8"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2018-12-31"	,"2407.9"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2019-12-31"	,"2927.9265"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2020-12-31"	,"5451.23"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2021-12-31"	,"4953"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2022-12-31"	,"4202"	,
"阿富汗"	,"对中国出口"	,"120055809"	,"2023-12-31"	,"6396.1259"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2005-12-31"	,"204560"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2006-12-31"	,"279674.5203"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2007-12-31"	,"301202.6771"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2008-12-31"	,"461325.0116"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2009-12-31"	,"259508.4735"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2010-12-31"	,"445154.9"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2011-12-31"	,"830637.4606"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2012-12-31"	,"1085196.9"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2013-12-31"	,"1282352.6"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2014-12-31"	,"1576335.6629"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2015-12-31"	,"1151403.2"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2016-12-31"	,"999436.3"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2017-12-31"	,"1231115.8"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2018-12-31"	,"1623776.7"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2019-12-31"	,"1533673.8558"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2020-12-31"	,"1705481.9809"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2021-12-31"	,"2857327"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2022-12-31"	,"4541667"	,
"阿联酋"	,"对中国出口"	,"120055772"	,"2023-12-31"	,"3929112.3569"	,
"阿曼"	,"对中国出口"	,"120055784"	,"2005-12-31"	,"413891"	,
"阿曼"	,"对中国出口"	,"120055784"	,"2006-12-31"	,"612947.424"	,
"阿曼"	,"对中国出口"	,"120055784"	,"2007-12-31"	,"672273.0685"	,
"阿曼"	,"对中国出口"	,"120055784"	,"2008-12-31"	,"1162684.7464"	,
"阿曼"	,"对中国出口"	,"120055784"	,"2009-12-31"	,"541123.0438"	,
