"nation","Index name","Exponential encoding","date"
"Afghanistan","Exports to China","120055809","2005-12-31","151"
"Afghanistan","Exports to China","120055809","2006-12-31","18.5744"
"Afghanistan","Exports to China","120055809","2007-12-31","237.6291"
"Afghanistan","Exports to China","120055809","2008-12-31","269.3017"
"Afghanistan","Exports to China","120055809","2009-12-31","137.5868"
"Afghanistan","Exports to China","120055809","2010-12-31","368"
"Afghanistan","Exports to China","120055809","2011-12-31","440.3087"
"Afghanistan","Exports to China","120055809","2012-12-31","518.7"
"Afghanistan","Exports to China","120055809","2013-12-31","959.5"
"Afghanistan","Exports to China","120055809","2014-12-31","1737.1806"
"Afghanistan","Exports to China","120055809","2015-12-31","1177.1"
"Afghanistan","Exports to China","120055809","2016-12-31","453.4"
"Afghanistan","Exports to China","120055809","2017-12-31","342.8"
"Afghanistan","Exports to China","120055809","2018-12-31","2407.9"
"Afghanistan","Exports to China","120055809","2019-12-31","2927.9265"
"Afghanistan","Exports to China","120055809","2020-12-31","5451.23"
"Afghanistan","Exports to China","120055809","2021-12-31","4953"
"Afghanistan","Exports to China","120055809","2022-12-31","4202"
"Afghanistan","Exports to China","120055809","2023-12-31","6396.1259"
"United Arab Emirates","Exports to China","120055772","2005-12-31","204560"
"United Arab Emirates","Exports to China","120055772","2006-12-31","279674.5203"
"United Arab Emirates","Exports to China","120055772","2007-12-31","301202.6771"
"United Arab Emirates","Exports to China","120055772","2008-12-31","461325.0116"
"United Arab Emirates","Exports to China","120055772","2009-12-31","259508.4735"
"United Arab Emirates","Exports to China","120055772","2010-12-31","445154.9"
"United Arab Emirates","Exports to China","120055772","2011-12-31","830637.4606"
"United Arab Emirates","Exports to China","120055772","2012-12-31","1085196.9"
"United Arab Emirates","Exports to China","120055772","2013-12-31","1282352.6"
"United Arab Emirates","Exports to China","120055772","2014-12-31","1576335.6629"
"United Arab Emirates","Exports to China","120055772","2015-12-31","1151403.2"
"United Arab Emirates","Exports to China","120055772","2016-12-31","999436.3"
"United Arab Emirates","Exports to China","120055772","2017-12-31","1231115.8"
"United Arab Emirates","Exports to China","120055772","2018-12-31","1623776.7"
"United Arab Emirates","Exports to China","120055772","2019-12-31","1533673.8558"
"United Arab Emirates","Exports to China","120055772","2020-12-31","1705481.9809"
"United Arab Emirates","Exports to China","120055772","2021-12-31","2857327"
"United Arab Emirates","Exports to China","120055772","2022-12-31","4541667"
"United Arab Emirates","Exports to China","120055772","2023-12-31","3929112.3569"
"Oman","Exports to China","120055784","2005-12-31","413891"
"Oman","Exports to China","120055784","2006-12-31","612947.424"
"Oman","Exports to China","120055784","2007-12-31","672273.0685"
"Oman","Exports to China","120055784","2008-12-31","1162684.7464"
"Oman","Exports to China","120055784","2009-12-31","541123.0438"
"Oman","Exports to China","120055784","2010-12-31","977922.6"
"Oman","Exports to China","120055784","2011-12-31","1487648.7883"
"Oman","Exports to China","120055784","2012-12-31","1697544.1"
"Oman","Exports to China","120055784","2013-12-31","2104061.3"
"Oman","Exports to China","120055784","2014-12-31","2379585.5636"
"Oman","Exports to China","120055784","2015-12-31","1504742"
"Oman","Exports to China","120055784","2016-12-31","1204102.4"
"Oman","Exports to China","120055784","2017-12-31","1338327.8"
"Oman","Exports to China","120055784","2018-12-31","1889851.1"
"Oman","Exports to China","120055784","2019-12-31","1965015.5145"
"Oman","Exports to China","120055784","2020-12-31","1565946.4292"
"Oman","Exports to China","120055784","2021-12-31","2859170"
"Oman","Exports to China","120055784","2022-12-31","3624179"
"Oman","Exports to China","120055784","2023-12-31","3127698.4428"
"Azerbaijan","Exports to China","120055687","2005-12-31","2440"
"Azerbaijan","Exports to China","120055687","2006-12-31","2201.8798"
"Azerbaijan","Exports to China","120055687","2007-12-31","144.2213"
"Azerbaijan","Exports to China","120055687","2008-12-31","11486.3737"
"Azerbaijan","Exports to China","120055687","2009-12-31","12831.6641"
"Azerbaijan","Exports to China","120055687","2010-12-31","8654.7"
"Azerbaijan","Exports to China","120055687","2011-12-31","19372.0359"
"Azerbaijan","Exports to China","120055687","2012-12-31","21389.7"
"Azerbaijan","Exports to China","120055687","2013-12-31","23358.3"
"Azerbaijan","Exports to China","120055687","2014-12-31","29706.2697"
"Azerbaijan","Exports to China","120055687","2015-12-31","22290.4"
"Azerbaijan","Exports to China","120055687","2016-12-31","41208.2"
"Azerbaijan","Exports to China","120055687","2017-12-31","57745.4"
"Azerbaijan","Exports to China","120055687","2018-12-31","38201.8"
"Azerbaijan","Exports to China","120055687","2019-12-31","86923.2294"
"Azerbaijan","Exports to China","120055687","2020-12-31","69877.9881"
"Azerbaijan","Exports to China","120055687","2021-12-31","20503"
"Azerbaijan","Exports to China","120055687","2022-12-31","24587"
"Azerbaijan","Exports to China","120055687","2023-12-31","17107.3332"
"Pakistan","Exports to China","120055783","2005-12-31","83317"
"Pakistan","Exports to China","120055783","2006-12-31","100721.3772"
"Pakistan","Exports to China","120055783","2007-12-31","110421.6499"
"Pakistan","Exports to China","120055783","2008-12-31","100679.9565"
"Pakistan","Exports to China","120055783","2009-12-31","126000.6898"
"Pakistan","Exports to China","120055783","2010-12-31","173102.3"
"Pakistan","Exports to China","120055783","2011-12-31","211862.0157"
"Pakistan","Exports to China","120055783","2012-12-31","313825.4"
"Pakistan","Exports to China","120055783","2013-12-31","319684"
"Pakistan","Exports to China","120055783","2014-12-31","275386.9881"
"Pakistan","Exports to China","120055783","2015-12-31","247476.4"
"Pakistan","Exports to China","120055783","2016-12-31","191259.3"
"Pakistan","Exports to China","120055783","2017-12-31","183321.9"
"Pakistan","Exports to China","120055783","2018-12-31","217208.6"
"Pakistan","Exports to China","120055783","2019-12-31","180612.5989"
"Pakistan","Exports to China","120055783","2020-12-31","212487.3682"
"Pakistan","Exports to China","120055783","2021-12-31","358448"
"Pakistan","Exports to China","120055783","2022-12-31","341602"
"Pakistan","Exports to China","120055783","2023-12-31","345992.4333"
"Palestine","Exports to China","120055782","2005-12-31","23"
"Palestine","Exports to China","120055782","2006-12-31","20.8406"
"Palestine","Exports to China","120055782","2007-12-31","15.2455"
"Palestine","Exports to China","120055782","2008-12-31","24.9488"
"Palestine","Exports to China","120055782","2009-12-31","74.6903"
"Palestine","Exports to China","120055782","2010-12-31","36.3"
"Palestine","Exports to China","120055782","2011-12-31","104.0844"
"Palestine","Exports to China","120055782","2012-12-31","33.8"
"Palestine","Exports to China","120055782","2013-12-31","18.6"
"Palestine","Exports to China","120055782","2014-12-31","8.6494"
"Palestine","Exports to China","120055782","2015-12-31","44.3"
"Palestine","Exports to China","120055782","2016-12-31","30.9"
"Palestine","Exports to China","120055782","2017-12-31","11.8"
"Palestine","Exports to China","120055782","2018-12-31","44.4"
"Palestine","Exports to China","120055782","2019-12-31","13.9926"
"Palestine","Exports to China","120055782","2020-12-31","0.8637"
"Palestine","Exports to China","120055782","2021-12-31","34"
"Palestine","Exports to China","120055782","2022-12-31","2"
"Palestine","Exports to China","120055782","2023-12-31","5.0903"
"Bahrain","Exports to China","120055808","2005-12-31","6894"
"Bahrain","Exports to China","120055808","2006-12-31","6481.5227"
"Bahrain","Exports to China","120055808","2007-12-31","10244.6323"
"Bahrain","Exports to China","120055808","2008-12-31","13131.6949"
"Bahrain","Exports to China","120055808","2009-12-31","21123.3159"
"Bahrain","Exports to China","120055808","2010-12-31","25191.2"
"Bahrain","Exports to China","120055808","2011-12-31","32583.6051"
"Bahrain","Exports to China","120055808","2012-12-31","34802.6"
"Bahrain","Exports to China","120055808","2013-12-31","30518.1"
"Bahrain","Exports to China","120055808","2014-12-31","18396.4392"
"Bahrain","Exports to China","120055808","2015-12-31","11154.3"
"Bahrain","Exports to China","120055808","2016-12-31","6372.3"
"Bahrain","Exports to China","120055808","2017-12-31","12394.6"
"Bahrain","Exports to China","120055808","2018-12-31","15012.5"
"Bahrain","Exports to China","120055808","2019-12-31","19533.0151"
"Bahrain","Exports to China","120055808","2020-12-31","14630.902"
"Bahrain","Exports to China","120055808","2021-12-31","39969"
"Bahrain","Exports to China","120055808","2022-12-31","25125"
"Bahrain","Exports to China","120055808","2023-12-31","19147.4512"
"East Timor","Exports to China","120176373","2005-12-31","0"
"East Timor","Exports to China","120176373","2006-12-31","1096.4132"
"East Timor","Exports to China","120176373","2007-12-31","4.948"
"East Timor","Exports to China","120176373","2008-12-31","10.6162"
"East Timor","Exports to China","120176373","2009-12-31","2.2765"
"East Timor","Exports to China","120176373","2010-12-31","25"
"East Timor","Exports to China","120176373","2011-12-31","174.2791"
"East Timor","Exports to China","120176373","2012-12-31","68.8"
"East Timor","Exports to China","120176373","2013-12-31","39.7"
"East Timor","Exports to China","120176373","2014-12-31","9.985"
"East Timor","Exports to China","120176373","2015-12-31","72.5"
"East Timor","Exports to China","120176373","2016-12-31","29.2"
"East Timor","Exports to China","120176373","2017-12-31","157.3"
"East Timor","Exports to China","120176373","2018-12-31","301.4"
"East Timor","Exports to China","120176373","2019-12-31","2456.4329"
"East Timor","Exports to China","120176373","2020-12-31","121.0615"
"East Timor","Exports to China","120176373","2021-12-31","11315"
"East Timor","Exports to China","120176373","2022-12-31","14536"
"East Timor","Exports to China","120176373","2023-12-31","7460.3408"
"the Philippines","Exports to China","120055781","2005-12-31","1286969"
"the Philippines","Exports to China","120055781","2006-12-31","1767456.1008"
"the Philippines","Exports to China","120055781","2007-12-31","2311783.9305"
"the Philippines","Exports to China","120055781","2008-12-31","1950474.3994"
"the Philippines","Exports to China","120055781","2009-12-31","1194840.9884"
"the Philippines","Exports to China","120055781","2010-12-31","1622197"
"the Philippines","Exports to China","120055781","2011-12-31","1799165.5358"
"the Philippines","Exports to China","120055781","2012-12-31","1964413.1"
"the Philippines","Exports to China","120055781","2013-12-31","1818181"
"the Philippines","Exports to China","120055781","2014-12-31","2098413.2158"
"the Philippines","Exports to China","120055781","2015-12-31","1896565.4"
"the Philippines","Exports to China","120055781","2016-12-31","1739589.1"
"the Philippines","Exports to China","120055781","2017-12-31","1923917.7"
"the Philippines","Exports to China","120055781","2018-12-31","2061160"
"the Philippines","Exports to China","120055781","2019-12-31","2019939.3176"
"the Philippines","Exports to China","120055781","2020-12-31","1933547.0519"
"the Philippines","Exports to China","120055781","2021-12-31","2476131"
"the Philippines","Exports to China","120055781","2022-12-31","2301822"
"the Philippines","Exports to China","120055781","2023-12-31","1949623.0219"
"georgia","Exports to China","120055689","2005-12-31","266"
"georgia","Exports to China","120055689","2006-12-31","695.1207"
"georgia","Exports to China","120055689","2007-12-31","1558.6433"
"georgia","Exports to China","120055689","2008-12-31","352.6532"
"georgia","Exports to China","120055689","2009-12-31","1787.068"
"georgia","Exports to China","120055689","2010-12-31","4525.1"
"georgia","Exports to China","120055689","2011-12-31","3810.5242"
"georgia","Exports to China","120055689","2012-12-31","3358.2"
"georgia","Exports to China","120055689","2013-12-31","5445.6"
"georgia","Exports to China","120055689","2014-12-31","5311.0774"
"georgia","Exports to China","120055689","2015-12-31","4378.5"
"georgia","Exports to China","120055689","2016-12-31","5356.4"
"georgia","Exports to China","120055689","2017-12-31","6759.1"
"georgia","Exports to China","120055689","2018-12-31","5388.7"
"georgia","Exports to China","120055689","2019-12-31","8104.5263"
"georgia","Exports to China","120055689","2020-12-31","10086.5861"
"georgia","Exports to China","120055689","2021-12-31","17977"
"georgia","Exports to China","120055689","2022-12-31","14890"
"georgia","Exports to China","120055689","2023-12-31","11504.631"
"Kazakhstan","Exports to China","120055768","2005-12-31","290936"
"Kazakhstan","Exports to China","120055768","2006-12-31","360727.2782"
"Kazakhstan","Exports to China","120055768","2007-12-31","643190.944"
"Kazakhstan","Exports to China","120055768","2008-12-31","772782.7943"
"Kazakhstan","Exports to China","120055768","2009-12-31","629568.4949"
"Kazakhstan","Exports to China","120055768","2010-12-31","1112844.8"
"Kazakhstan","Exports to China","120055768","2011-12-31","1539470.3569"
"Kazakhstan","Exports to China","120055768","2012-12-31","1468084.3"
"Kazakhstan","Exports to China","120055768","2013-12-31","1605083.8"
"Kazakhstan","Exports to China","120055768","2014-12-31","974182.244"
"Kazakhstan","Exports to China","120055768","2015-12-31","584894.7"
"Kazakhstan","Exports to China","120055768","2016-12-31","480507.9"
